Schedule West: 
Hrs             Minutes:
05 -            0,40
06 -            0,22,47
07 -            17
08 -            15,44
09 -            15,46
10 -            17,48
11 -            18,49
12 -            18,47
13 -            15,43
14 -            11,39
15 -            8,37
16 -            6,35
17 -            5,32
18 -            1,27,53
19 -            15,29,37,45,53
20 -            1,9,17,25,33,41,49,58
21 -            7,16,25,33,42,51
22 -            0,9,19,30,42,56
23 -            13,35,59
24 -            25,53
25 -            20
